legacyName;futureName;wanIp;internalIp;deviceModel;serialNumber;firmware;address1;address2;postcode;pstn;service;status;passwordLocation;remoteAccess;prtg;syslog
Clydesdale Bank Hillington (ARC Master);Virgin Money -  Hillington (ARC Master);62.232.138.86;192.168.12.1 / 255.255.255.0;Bintec RXL12500;RNBDIH013260029;V.10.2.12.100;4 Gordon Avenue;Hillington;G52 4TG;Leased Line 100MB/100MB;;Online;https://passwordstate.clouddirect.net/pid=20341;Yes;Yes (SNMP);Yes
Clydesdale Bank Symington (Backup Arc);Virgin Money -  Symington (Backup Arc);89.105.115.125;192.168.2.243 / 255.255.255.0;Bintec RXL12500;RNBALO019110011;V.10.2.6.102;The Bunker Data Centre, 2 Symington Drive,;Clydebank;G81 2NT;;;Online;https://passwordstate.clouddirect.net/pid=20342;Yes;Yes (SNMP);Yes
Yorkshire Bank Manchester;Virgin Money -  Manchester;81.133.77.155;192.168.31.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080058;V.10.2.6.102;48-50 MARKET STREET;MANCHESTER;M1 1PW;tba;ADSL;Online;https://passwordstate.clouddirect.net/pid=20319;Yes;Yes (SNMP);Yes
Clydesdale Bank George St Edinburgh;Virgin Money -  George St Edinburgh;81.130.128.114;192.168.27.1 / 255.255.255.0;Bintec RS353a;RNQBBB019230051;V.10.2.6.102;83 George Street;Edinburgh;EH2 3ES;1312257547;ADSL;Online;https://passwordstate.clouddirect.net/pid=20320;Yes;Yes (SNMP);Yes
Yorkshire Bank Briggate Leeds;Virgin Money -  Briggate Leeds;81.134.43.45;192.168.24.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080245;V.10.2.6.102;CYB Briggate, Leeds LS1 6NP;Leeds;LS1 6NP;1132449438;ADSL;Online;https://passwordstate.clouddirect.net/pid=20321;Yes;Yes (SNMP);Yes
B Branch Birmingham;Virgin Money - Branch Birmingham;81.130.168.46;192.168.29.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080248;V.10.2.6.102;136 New Street;Birmingham;B2 4NS;1216430682;ADSL;Online;https://passwordstate.clouddirect.net/pid=20322;Yes;Yes (SNMP);Yes
Clydesdale Bank Baillieston;Virgin Money -  Baillieston;89.145.213.153;192.168.42.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080227;V.10.2.6.102;47 Main Street;Baillieston;G69 6SQ;1417715610;FTTC;Online;https://passwordstate.clouddirect.net/pid=20323;Yes;Yes (SNMP);Yes
Yorkshire Bank Eston;Virgin Money -  Eston;89.145.203.23;192.168.40.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080204;V.10.2.6.102;182-184 High St;Middlesbrough;TS6 9JE;1642462173;FTTC;Online;https://passwordstate.clouddirect.net/pid=20324;Yes;Yes (SNMP);Yes
Yorkshire Bank Leeds Hunslet;Virgin Money -  Leeds Hunslet;89.145.217.100;192.168.43.1 / 255.255.255.0;Bintec RS353a;RNQFDM020240179;V.10.2.8.101;Unit 11 Hunslet District 1 The Penny Hill Centre, Church Street, Hunslet;Leeds;LS10 2AP;1132776357;FTTC;Online;https://passwordstate.clouddirect.net/pid=20325;Yes;Yes (Ping Only);
Clydesdale Bank Livingston;Virgin Money -  Livingston;109.170.136.124;192.168.44.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080207;V.10.2.6.102;Block 1 Cairngorm House;Livingston;EH54 6QL;1506410568;FTTC;Online;https://passwordstate.clouddirect.net/pid=20326;Yes;Yes (Ping Only);
